Product_ID,Product_Name,Catagory,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status,Days_Since_Last_Order,Stock_to_Reorder_Ratio,Is_Backordered,Baseline_Sales,Predicted_Sales,Baseline_Reorder,Predicted_Reorder,Revenue,Cost_Price,Cost,Profit,Restock_Urgency
39-449-0772,Feta Cheese,Dairy,84-504-7617,Youfeed,94,13,15,7.0,2024-02-27,2024-04-02,2024-10-05,195 Portage Junction,20,24,Backordered,379,6.714285714285714,1,,,,,,3.8500000000000005,,,
55-936-2406,Bread Flour,Grains & Pulses,29-689-5014,Mynte,27,93,88,1.5,2024-11-16,2024-03-09,2024-04-05,52691 8th Drive,66,13,Active,403,0.2872340425531915,0,,,,,,0.8250000000000001,,,
82-041-7211,Swiss Cheese,Dairy,03-615-0558,Reallinks,49,49,26,8.0,2024-09-10,2024-05-19,2024-07-01,285 1st Park,78,61,Discontinued,332,0.98,0,,,,,,4.4,,,
48-414-6162,Arabica Coffee,Beverages,10-060-8515,Skivee,55,93,84,20.0,2024-05-29,2024-11-08,2024-05-05,17780 Lindbergh Junction,46,84,Active,159,0.5851063829787234,0,,,,,,11.0,,,
76-854-0095,White Sugar,Grains & Pulses,38-883-3382,Mydeo,65,61,82,2.0,2024-05-31,2025-02-08,2024-12-28,7834 Cordelia Alley,29,11,Backordered,67,1.0483870967741935,1,,,,,,1.1,,,
25-349-7974,Spinach,Fruits & Vegetables,82-737-6019,Devshare,72,70,99,2.5,2024-10-07,2024-05-28,2024-06-22,42 Bunker Hill Junction,82,32,Discontinued,323,1.0140845070422535,0,,,,,,1.375,,,
66-627-9752,Trout,Seafood,87-839-6400,Jabbertype,49,73,48,12.0,2024-08-17,2024-10-01,2024-09-03,08 Randy Junction,52,62,Active,197,0.6621621621621622,0,,,,,,6.6000000000000005,,,
78-614-4402,Green Beans,Fruits & Vegetables,51-014-4287,Gigazoom,81,99,28,2.0,2024-09-30,2025-02-14,2024-04-25,37 Browning Trail,20,85,Discontinued,61,0.81,0,,,,,,1.1,,,
67-025-1245,Cabbage,Fruits & Vegetables,28-575-0716,Chatterbridge,88,46,55,1.0,2024-04-09,2024-03-06,2024-08-12,51890 Lindbergh Terrace,73,63,Active,406,1.872340425531915,0,58.543771043771045,66.67269753266922,52.61784511784512,57.21399386288861,66.67269753266922,0.55,31.467696624588736,35.20500090808048,24.67269753266922
68-418-6724,Parmesan Cheese,Dairy,75-465-6257,Feedspan,63,4,85,12.0,2024-12-21,2025-01-13,2024-09-30,49869 Bunker Hill Terrace,59,71,Active,93,12.6,0,,,,,,6.6000000000000005,,,
40-795-0753,Raw Sugar,Grains & Pulses,47-183-4911,Mydo,31,43,80,1.5,2024-05-28,2025-02-22,2024-05-30,66879 Susan Place,46,78,Backordered,53,0.7045454545454546,1,58.543771043771045,65.92430549105802,52.61784511784512,54.19859772306088,98.88645823658703,0.8250000000000001,44.71384312152523,54.1726151150618,77.92430549105802
02-508-3777,Egg (Quail),Dairy,69-933-2582,Realpoint,97,88,81,0.8,2024-11-05,2024-07-07,2024-06-26,895 Northland Hill,97,18,Discontinued,283,1.0898876404494382,0,,,,,,0.44000000000000006,,,
79-741-0770,Mushrooms,Fruits & Vegetables,67-771-7656,Photospace,72,87,39,6.0,2024-06-24,2025-02-24,2024-03-17,91 Kinsman Terrace,94,57,Active,51,0.8181818181818182,0,,,,,,3.3000000000000003,,,
31-211-5803,Oatmeal Biscuit,Bakery,75-503-9347,Gigazoom,16,9,32,5.0,2024-07-16,2024-08-21,2025-02-07,492 Shoshone Road,50,98,Backordered,238,1.6,1,,,,,,2.75,,,
16-499-5059,Pear,Fruits & Vegetables,09-090-6360,Centizu,77,20,5,4.5,2024-08-18,2024-11-19,2024-12-20,3 Hooker Way,61,62,Discontinued,148,3.6666666666666665,0,58.543771043771045,54.051110284995104,52.61784511784512,46.84473900036867,243.22999628247797,2.475,115.94072902591246,127.28926725656551,-2.9488897150048956
76-340-4432,Cucumber,Fruits & Vegetables,79-915-4185,Brainverse,19,36,72,1.75,2024-05-03,2024-03-28,2024-03-06,157 David Center,31,81,Backordered,384,0.5135135135135135,1,58.543771043771045,59.17148470254461,52.61784511784512,51.98407965988745,103.55009822945307,0.9625000000000001,50.03467667264167,53.5154215568114,76.1714847025446
38-732-7667,Pineapple,Fruits & Vegetables,88-663-3393,Photojam,18,52,22,3.5,2024-08-23,2024-10-13,2024-09-28,3645 Ridge Oak Drive,42,32,Backordered,185,0.33962264150943394,1,,,,,,1.9250000000000003,,,
04-240-2226,Olive Oil,Oils & Fats,65-842-6819,Kamba,47,48,73,6.0,2024-08-13,2024-06-28,2024-03-05,504 Green Park,42,51,Discontinued,292,0.9591836734693877,0,,,,,,3.3000000000000003,,,
79-136-9840,Herbal Tea,Beverages,07-809-0926,Pixonyx,77,45,75,30.0,2024-11-05,2024-08-19,2024-06-23,26175 Oxford Way,25,37,Discontinued,240,1.673913043478261,0,,,,,,16.5,,,
73-401-5721,Haddock,Seafood,38-622-5251,Midel,46,28,73,9.0,2024-05-28,2024-10-28,2024-12-26,582 Sauthoff Crossing,65,57,Discontinued,170,1.5862068965517242,0,,,,,,4.95,,,
91-848-0606,Onion,Fruits & Vegetables,68-836-0350,Skyble,39,22,73,2.0,2024-06-11,2024-07-23,2024-10-28,13 Corscot Hill,60,2,Active,267,1.6956521739130435,0,,,,,,1.1,,,
54-109-8062,Sushi Rice,Grains & Pulses,04-726-3363,Linklinks,75,69,100,4.5,2024-07-11,2025-01-19,2025-02-16,67 Little Fleur Road,43,18,Backordered,87,1.0714285714285714,1,,,,,,2.475,,,
70-612-2531,Pineapple,Fruits & Vegetables,94-217-4781,Flipbug,48,48,39,3.45,2024-03-17,2025-01-25,2024-10-30,4 Raven Drive,51,50,Discontinued,81,0.9795918367346939,0,,,,,,1.8975000000000002,,,
26-161-6692,Zucchini,Fruits & Vegetables,61-796-7912,Kare,61,90,26,2.5,2024-12-22,2024-09-07,2024-09-19,70001 Vahlen Lane,79,84,Discontinued,221,0.6703296703296703,0,,,,,,1.375,,,
43-893-5408,Short Grain Rice,Grains & Pulses,25-414-2945,Snaptags,60,90,85,3.0,2025-01-21,2024-03-20,2024-08-24,6 Orin Place,47,9,Discontinued,392,0.6593406593406593,0,58.543771043771045,61.51601907647175,52.61784511784512,59.995265784553666,184.54805722941524,1.6500000000000001,98.99218854451355,85.55586868490168,91.51601907647175
11-316-8405,Mango,Fruits & Vegetables,50-918-1373,Twitternation,24,55,51,5.0,2024-04-26,2025-02-24,2024-11-25,108 Morning Center,39,15,Discontinued,51,0.42857142857142855,0,,,,,,2.75,,,
34-086-3222,Lemon,Fruits & Vegetables,34-017-9457,Layo,12,7,48,2.3,2024-06-24,2024-12-25,2024-06-05,867 Merrick Place,66,4,Discontinued,112,1.5,0,,,,,,1.265,,,
21-816-1004,Black Coffee,Beverages,68-482-4786,Realpoint,84,13,88,15.0,2025-01-26,2024-12-04,2024-07-22,564 Hazelcrest Crossing,25,34,Backordered,133,6.0,1,,,,,,8.25,,,
43-693-2092,Butter,Dairy,19-469-9841,Kayveo,51,100,70,3.0,2024-04-30,2024-10-21,2024-09-22,76 Toban Plaza,40,21,Discontinued,177,0.504950495049505,0,,,,,,1.6500000000000001,,,
63-270-7076,Multigrain Bread,Bakery,85-532-0172,Roombo,65,36,37,3.5,2024-04-21,2024-06-12,2025-01-24,6 Lunder Parkway,32,70,Backordered,308,1.7567567567567568,1,58.543771043771045,66.93044312371657,52.61784511784512,51.49832693355425,234.256550933008,1.9250000000000003,99.13427934709195,135.12227158591605,37.93044312371657
90-230-9767,Long Grain Rice,Grains & Pulses,70-515-9048,Voonyx,67,88,32,1.5,2024-04-06,2024-05-01,2024-11-17,00397 Bay Terrace,66,42,Discontinued,350,0.7528089887640449,0,,,,,,0.8250000000000001,,,
05-334-2923,Bread Flour,Grains & Pulses,41-772-6271,Browsezoom,14,74,71,1.5,2024-08-18,2024-11-22,2024-05-16,8 Surrey Pass,37,22,Discontinued,145,0.18666666666666668,0,,,,,,0.8250000000000001,,,
52-481-5224,Kiwi,Fruits & Vegetables,46-382-2024,Fiveclub,45,24,61,6.0,2025-01-21,2025-02-07,2025-02-15,80 Old Shore Plaza,44,34,Backordered,68,1.8,1,,,,,,3.3000000000000003,,,
11-325-7396,Mango,Fruits & Vegetables,98-940-7545,Skipfire,92,46,13,5.0,2024-07-28,2024-10-18,2024-03-26,387 Jay Point,24,75,Discontinued,180,1.9574468085106382,0,,,,,,2.75,,,
70-854-6891,Sourdough Bread,Bakery,79-575-9351,Flashspan,41,84,90,4.0,2025-01-28,2024-11-28,2024-11-12,24045 Bluestem Point,42,65,Active,139,0.4823529411764706,0,,,,,,2.2,,,
46-520-1819,Short Grain Rice,Grains & Pulses,10-762-7936,Katz,41,36,78,4.5,2024-07-04,2024-10-04,2024-05-15,805 Nancy Crossing,38,75,Backordered,194,1.1081081081081081,1,,,,,,2.475,,,
91-105-7317,Orange,Fruits & Vegetables,84-047-0017,Devshare,85,45,71,3.0,2024-03-20,2024-12-28,2025-02-02,44022 Barnett Way,95,72,Discontinued,109,1.8478260869565217,0,,,,,,1.6500000000000001,,,
40-751-8635,Pineapple,Fruits & Vegetables,48-878-3021,Yamia,44,80,84,3.4,2024-08-30,2024-10-17,2024-03-05,3 Ronald Regan Center,96,68,Discontinued,181,0.5432098765432098,0,,,,,,1.87,,,
02-920-4829,White Bread,Bakery,41-587-4864,Skyble,92,87,84,2.5,2024-10-19,2024-06-14,2024-05-22,4 Judy Hill,61,31,Backordered,306,1.0454545454545454,1,,,,,,1.375,,,
36-918-2937,Green Coffee,Beverages,53-844-0478,Kwinu,62,89,18,12.0,2024-03-12,2025-02-12,2024-11-28,90865 Sherman Court,35,36,Active,63,0.6888888888888889,0,,,,,,6.6000000000000005,,,
68-761-6907,Zucchini,Fruits & Vegetables,31-199-3683,Brainverse,26,18,62,2.5,2024-07-28,2024-07-21,2025-02-02,9695 Alpine Trail,57,86,Discontinued,269,1.368421052631579,0,58.543771043771045,58.87314944880277,52.61784511784512,50.72152383467565,147.18287362200692,1.375,69.74209527267902,77.4407783493279,50.87314944880277
69-468-5468,Sourdough Bread,Bakery,37-099-6976,Vinte,59,78,6,4.5,2024-11-03,2024-06-10,2024-11-26,72083 Acker Crossing,32,3,Active,310,0.7468354430379747,0,,,,,,2.475,,,
27-635-8394,Orange,Fruits & Vegetables,87-893-6089,Twitterwire,88,37,61,2.9,2025-02-03,2024-11-13,2024-03-19,812 Shelley Circle,63,35,Discontinued,154,2.3157894736842106,0,,,,,,1.595,,,
41-729-5410,Sardines,Seafood,71-727-8611,Ntag,91,59,49,6.0,2024-10-23,2024-04-05,2024-06-26,7193 Crownhardt Drive,30,63,Active,376,1.5166666666666666,0,,,,,,3.3000000000000003,,,
33-335-9140,Olive Oil,Oils & Fats,08-209-1598,Blogspan,28,17,28,6.0,2024-10-24,2024-08-20,2024-08-27,76928 Tennyson Parkway,38,25,Active,239,1.5555555555555556,0,58.543771043771045,59.10730065859633,52.61784511784512,60.531960299678865,354.643803951578,3.3000000000000003,199.75546898894027,154.8883349626377,48.10730065859633
11-581-9869,Carrot,Fruits & Vegetables,22-867-3079,Avaveo,51,60,98,1.5,2024-05-01,2024-12-12,2024-09-26,44801 Myrtle Center,44,95,Discontinued,125,0.8360655737704918,0,58.543771043771045,60.83053671016999,52.61784511784512,58.07134091097299,91.24580506525498,0.8250000000000001,47.90885625155272,43.336948813702264,69.83053671016998
78-237-0277,Black Tea,Beverages,50-314-5433,Brainbox,46,27,76,5.0,2024-09-15,2024-09-23,2025-01-13,79 Cardinal Court,64,96,Active,205,1.6428571428571428,0,,,,,,2.75,,,
75-152-8731,Pear,Fruits & Vegetables,05-593-1927,Voonix,82,65,69,4.45,2024-04-11,2024-11-12,2024-08-08,622 Anthes Lane,30,78,Backordered,155,1.2424242424242424,1,,,,,,2.4475000000000002,,,
65-718-0492,Olive Oil,Oils & Fats,91-492-8216,Midel,100,92,26,6.0,2024-05-05,2025-01-23,2025-02-16,8626 Chinook Parkway,84,9,Active,83,1.075268817204301,0,58.543771043771045,61.05420227751622,52.61784511784512,36.75124815526444,366.3252136650973,3.3000000000000003,121.27911891237267,245.04609475272463,53.05420227751622
55-697-5242,Ricotta Cheese,Dairy,74-726-0855,Shufflebeat,51,53,88,6.0,2025-01-31,2024-06-30,2024-09-24,19112 Little Fleur Road,54,59,Discontinued,290,0.9444444444444444,0,,,,,,3.3000000000000003,,,
14-844-4138,Black Coffee,Beverages,90-534-2165,Flipbug,61,43,29,15.0,2025-02-03,2024-10-25,2024-03-03,40643 Sullivan Lane,67,6,Discontinued,173,1.3863636363636365,0,58.543771043771045,46.59907981217877,52.61784511784512,64.02279521970773,698.9861971826816,8.25,528.1880605625888,170.7981366200928,28.599079812178772
20-225-3930,White Tea,Beverages,73-069-2753,Skipstorm,99,87,10,25.0,2024-12-08,2024-02-29,2024-03-17,5756 Stephen Avenue,93,70,Active,412,1.125,0,58.543771043771045,61.735581430595914,52.61784511784512,45.164168965611864,1543.3895357648978,13.750000000000002,621.0073232771632,922.3822124877346,49.735581430595914
66-993-4234,Cucumber,Fruits & Vegetables,15-852-0491,Gigazoom,13,60,100,1.8,2024-07-18,2025-01-16,2024-06-24,22 Dexter Trail,44,32,Backordered,90,0.21311475409836064,1,58.543771043771045,57.64992023320341,52.61784511784512,48.850878845605386,103.76985641976614,0.9900000000000001,48.362370057149334,55.40748636261681,104.6499202332034
87-762-1317,Mozzarella Cheese,Dairy,58-474-3510,Dazzlesphere,45,63,75,7.0,2025-01-28,2024-11-20,2025-02-09,9305 Warrior Way,83,5,Discontinued,147,0.703125,0,,,,,,3.8500000000000005,,,
81-844-2979,Broccoli,Fruits & Vegetables,02-575-7332,Realblab,73,87,46,4.0,2024-09-24,2025-01-15,2024-05-11,16 Elgar Point,47,67,Discontinued,91,0.8295454545454546,0,,,,,,2.2,,,
44-408-7594,Eggplant,Fruits & Vegetables,08-828-3804,Eire,39,21,5,3.0,2024-11-24,2024-05-01,2025-01-08,81 Oneill Circle,51,98,Backordered,350,1.7727272727272727,1,58.543771043771045,59.98746754632478,52.61784511784512,51.32064287724319,179.96240263897434,1.6500000000000001,84.67906074745126,95.28334189152308,41.98746754632478
26-010-9519,Trout,Seafood,28-837-4164,Blogtag,29,72,96,12.0,2024-05-03,2024-11-26,2025-01-09,4508 Shopko Trail,85,52,Active,141,0.3972602739726027,0,,,,,,6.6000000000000005,,,
65-464-5070,Heavy Cream,Dairy,01-517-7793,Ntags,12,60,73,4.0,2025-02-03,2024-03-16,2024-09-01,00 Luster Alley,20,35,Discontinued,396,0.19672131147540983,0,58.543771043771045,63.22658111723811,52.61784511784512,55.00622319153832,252.90632446895245,2.2,121.0136910213843,131.89263344756813,111.22658111723811
07-970-9352,Bell Pepper,Fruits & Vegetables,14-724-4622,Tagtune,96,33,72,4.45,2024-03-10,2024-05-16,2024-07-12,459 Gateway Pass,74,100,Active,335,2.823529411764706,0,,,,,,2.4475000000000002,,,
88-746-9468,Onion,Fruits & Vegetables,06-159-1957,Skiba,35,92,74,2.0,2024-11-25,2025-02-03,2024-11-14,82737 Ryan Place,76,32,Active,72,0.3763440860215054,0,,,,,,1.1,,,
06-336-5482,Sardines,Seafood,99-784-4391,Voolia,89,34,15,6.0,2024-12-31,2024-03-08,2024-08-24,7 Mockingbird Hill,60,2,Discontinued,404,2.5428571428571427,0,,,,,,3.3000000000000003,,,
03-276-3931,Mango,Fruits & Vegetables,42-224-8186,Oyoloo,60,36,28,4.5,2024-06-30,2024-09-18,2024-12-20,081 Bellgrove Place,26,29,Active,210,1.6216216216216217,0,58.543771043771045,58.43674640888636,52.61784511784512,56.34956052908854,262.9653588399886,2.475,139.46516230949413,123.50019653049446,34.43674640888636
39-232-5341,Arborio Rice,Grains & Pulses,23-319-2681,Feedmix,20,34,74,4.5,2024-09-21,2024-10-24,2025-02-15,05433 Towne Terrace,50,83,Discontinued,174,0.5714285714285714,0,,,,,,2.475,,,
12-239-9399,Potato,Fruits & Vegetables,53-584-1853,Tagtune,28,40,27,1.2,2024-12-14,2024-07-29,2024-10-27,924 La Follette Alley,30,56,Active,261,0.6829268292682927,0,58.543771043771045,56.888508680991066,52.61784511784512,58.50615864687598,68.26621041718927,0.66,38.61406470693815,29.65214571025112,68.88850868099107
75-080-4909,Corn Oil,Oils & Fats,34-726-5887,Tagopia,20,55,15,2.5,2024-12-09,2024-04-12,2024-09-09,7 Gateway Center,86,61,Backordered,369,0.35714285714285715,1,,,,,,1.375,,,
70-815-4015,Butter Biscuit,Bakery,89-134-9717,Ozu,38,93,61,6.0,2024-12-10,2024-07-15,2024-08-30,175 Sycamore Circle,67,100,Active,275,0.40425531914893614,0,,,,,,3.3000000000000003,,,
11-032-9778,Peas,Fruits & Vegetables,42-380-8881,Edgepulse,99,1,4,3.0,2024-12-13,2025-01-27,2024-08-19,553 Mayfield Crossing,50,53,Backordered,79,49.5,1,,,,,,1.6500000000000001,,,
54-374-9986,Cream,Dairy,33-818-4917,Oyondu,92,52,80,2.5,2024-06-03,2024-10-22,2024-03-21,74997 Katie Terrace,72,96,Discontinued,176,1.7358490566037736,0,,,,,,1.375,,,
77-312-6317,Spinach,Fruits & Vegetables,12-950-4397,Abatz,41,29,76,2.4,2024-02-26,2024-09-13,2024-10-01,3616 Carey Pass,59,4,Discontinued,215,1.3666666666666667,0,,,,,,1.32,,,
13-844-2178,Sardines,Seafood,66-832-1802,Browsetype,44,67,48,6.0,2024-09-05,2024-09-21,2024-03-24,86207 Tennyson Parkway,90,11,Active,207,0.6470588235294118,0,,,,,,3.3000000000000003,,,
22-141-9798,White Sugar,Grains & Pulses,59-849-9942,Photobean,47,7,63,2.0,2024-05-18,2024-09-20,2024-04-30,6 Nobel Junction,29,20,Backordered,208,5.875,1,,,,,,1.1,,,
20-022-3173,Bread Flour,Grains & Pulses,54-188-1006,Mydeo,21,63,65,1.5,2024-10-08,2024-11-10,2025-02-22,81878 Nobel Point,38,73,Discontinued,157,0.328125,0,58.543771043771045,62.89389149911448,52.61784511784512,51.694921637064915,94.34083724867172,0.8250000000000001,42.64831035057856,51.692526898093156,104.89389149911449
26-177-5690,Cucumber,Fruits & Vegetables,06-708-1412,Skinte,85,33,50,1.8,2024-03-06,2024-07-15,2025-01-21,61707 Mariners Cove Park,64,38,Discontinued,275,2.5,0,,,,,,0.9900000000000001,,,
70-871-4536,Swiss Cheese,Dairy,72-514-7323,Cogilith,29,4,17,8.0,2025-01-19,2024-11-13,2024-06-17,5 Waxwing Junction,59,52,Active,154,5.8,0,58.543771043771045,61.24684115774627,52.61784511784512,57.56790642592077,489.97472926197014,4.4,253.2987882740514,236.67594098791875,36.24684115774627
06-611-5454,Peanut Oil,Oils & Fats,43-786-9229,Bluezoom,64,21,13,4.0,2025-01-30,2024-10-11,2024-11-16,16 Autumn Leaf Way,51,26,Backordered,187,2.909090909090909,1,,,,,,2.2,,,
89-543-3456,Blueberries,Fruits & Vegetables,23-178-8962,Jaloo,66,40,96,10.0,2024-02-28,2024-06-22,2025-02-06,22782 Oriole Way,24,61,Active,298,1.6097560975609757,0,,,,,,5.5,,,
82-395-5070,Chocolate Biscuit,Bakery,01-801-9502,Vidoo,75,81,17,5.0,2024-07-09,2025-02-17,2025-02-20,43442 Homewood Street,69,38,Active,58,0.9146341463414634,0,,,,,,2.75,,,
14-305-5348,Cheese,Dairy,71-092-6845,Shuffledrive,53,63,2,9.0,2024-08-02,2024-10-12,2024-03-20,19 Shoshone Circle,56,95,Active,186,0.828125,0,,,,,,4.95,,,
82-243-3180,Palm Oil,Oils & Fats,18-631-1458,Zooxo,43,63,80,1.8,2024-06-23,2024-07-31,2025-02-11,97 Sunnyside Court,33,96,Discontinued,259,0.671875,0,,,,,,0.9900000000000001,,,
25-010-9478,Eggplant,Fruits & Vegetables,24-576-3402,Topicblab,74,30,24,3.0,2024-08-09,2024-10-13,2024-07-31,357 Maple Park,82,12,Active,185,2.3870967741935485,0,,,,,,1.6500000000000001,,,
13-202-4809,Garlic,Fruits & Vegetables,24-281-7685,Katz,27,22,89,7.0,2024-05-01,2024-07-28,2024-05-20,6195 Monterey Center,91,77,Discontinued,262,1.173913043478261,0,,,,,,3.8500000000000005,,,
67-270-7464,Jasmine Rice,Grains & Pulses,83-960-5274,Yadel,91,73,77,4.75,2025-02-01,2024-08-24,2024-12-07,7242 Claremont Avenue,51,49,Discontinued,235,1.2297297297297298,0,58.543771043771045,57.373231756463866,52.61784511784512,50.48178660675382,272.52285084320334,2.6125000000000003,131.88366751014436,140.63918333305898,39.373231756463866
11-733-1756,Rice Flour,Grains & Pulses,27-970-8649,Mynte,52,81,53,2.0,2024-08-28,2024-11-27,2025-02-24,127 Eliot Road,95,88,Backordered,140,0.6341463414634146,1,,,,,,1.1,,,
80-988-4653,Zucchini,Fruits & Vegetables,02-272-0535,Livetube,43,66,85,2.5,2024-04-20,2024-09-14,2024-04-19,8 Russell Pass,66,65,Discontinued,214,0.6417910447761194,0,,,,,,1.375,,,
60-343-7973,Multigrain Bread,Bakery,06-303-4127,Zoombox,56,86,23,3.2,2024-04-15,2024-04-29,2024-04-09,85408 Toban Crossing,67,56,Backordered,352,0.6436781609195402,1,,,,,,1.7600000000000002,,,
34-861-4446,Ricotta Cheese,Dairy,40-696-4237,Photobug,66,40,8,6.0,2024-11-27,2025-01-18,2025-01-06,113 Donald Court,43,49,Active,88,1.6097560975609757,0,,,,,,3.3000000000000003,,,
67-710-5120,Bread Flour,Grains & Pulses,00-131-9278,Skynoodle,84,92,18,1.5,2024-10-29,2024-12-29,2024-02-25,978 Shasta Lane,92,69,Active,108,0.9032258064516129,0,,,,,,0.8250000000000001,,,
49-891-4927,Cottage Cheese,Dairy,89-155-3471,Midel,37,5,1,5.0,2025-01-02,2024-02-26,2024-11-28,46 Hoffman Trail,68,99,Active,415,6.166666666666667,0,,,,,,2.75,,,
55-522-8242,Whipped Cream,Dairy,48-884-5431,Feedbug,29,36,40,4.0,2024-11-08,2024-03-30,2024-09-07,7 Spohn Avenue,60,96,Backordered,382,0.7837837837837838,1,,,,,,2.2,,,
62-509-0666,Almond Flour,Grains & Pulses,16-419-1419,Brainverse,13,88,7,9.5,2024-07-28,2024-05-15,2024-07-03,1468 Meadow Vale Court,24,21,Backordered,336,0.14606741573033707,1,,,,,,5.2250000000000005,,,
64-478-4745,Lemon,Fruits & Vegetables,36-780-8625,Mydo,63,81,94,2.5,2024-06-04,2024-04-20,2024-11-19,208 Miller Court,56,2,Active,361,0.7682926829268293,0,,,,,,1.375,,,
35-835-5591,Tilapia,Seafood,54-876-4296,Fiveclub,95,63,73,7.0,2024-11-17,2024-06-05,2024-03-08,509 Carpenter Trail,61,38,Backordered,315,1.484375,1,,,,,,3.8500000000000005,,,
26-690-3784,Lettuce,Fruits & Vegetables,70-463-6597,Fadeo,58,5,1,2.0,2024-10-02,2024-10-14,2024-04-06,19069 Cordelia Drive,53,80,Active,184,9.666666666666666,0,58.543771043771045,64.95467920104078,52.61784511784512,52.01646027998919,129.90935840208155,1.1,57.218106307988116,72.69125209409344,11.954679201040776
67-546-1568,Peanut Oil,Oils & Fats,10-038-3988,Edgeify,57,36,53,4.0,2024-06-04,2024-06-16,2024-03-28,203 Mariners Cove Junction,56,32,Backordered,304,1.5405405405405406,1,,,,,,2.2,,,
67-625-9704,Sardines,Seafood,13-475-1009,Eayo,33,18,92,6.0,2024-06-03,2024-09-26,2024-07-18,7819 Fallview Park,98,56,Discontinued,202,1.736842105263158,0,,,,,,3.3000000000000003,,,
